-80.0,OK,Mon May 26 17:01:53 MDT 2014
-80.0,OK,Mon May 26 17:02:30 MDT 2014
-80.0,OK,Mon May 26 17:02:36 MDT 2014
-80.0,OK,Mon May 26 17:02:45 MDT 2014
-80.0,OK,Mon May 26 17:12:24 MDT 2014
-80.0,OK,Mon May 26 17:12:26 MDT 2014
-80.0,OK,Mon May 26 17:12:31 MDT 2014
-80.0,OK,Mon May 26 17:12:33 MDT 2014
-80.0,OK,Mon May 26 17:12:35 MDT 2014
-80.0,OK,Mon May 26 17:12:37 MDT 2014
-80.0,OK,Mon May 26 17:12:38 MDT 2014
-80.0,OK,Mon May 26 17:12:40 MDT 2014
-80.0,OK,Mon May 26 17:12:42 MDT 2014
-80.0,OK,Mon May 26 17:12:44 MDT 2014
-80.0,OK,Mon May 26 17:12:45 MDT 2014
-80.0,OK,Mon May 26 17:12:47 MDT 2014,Asds
